acc,ftp,organism_name,genetic_code
GCF_000010525.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/525/GCF_000010525.1_ASM1052v1,Azorhizobium caulinodans ORS 571,11
GCF_000007365.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/365/GCF_000007365.1_ASM736v1,Buchnera aphidicola str. Sg (Schizaphis graminum),11
GCF_000007725.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/725/GCF_000007725.1_ASM772v1,Buchnera aphidicola str. Bp (Baizongia pistaciae),11
GCF_000009605.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/605/GCF_000009605.1_ASM960v1,Buchnera aphidicola str. APS (Acyrthosiphon pisum),11
GCF_000090965.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/090/965/GCF_000090965.1_ASM9096v1,Buchnera aphidicola BCc,11
GCF_000217635.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/217/635/GCF_000217635.1_ASM21763v1,Buchnera aphidicola (Cinara tujafilina),11
GCF_000225445.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/445/GCF_000225445.1_ASM22544v1,Buchnera aphidicola str. Ak (Acyrthosiphon kondoi),11
GCF_000225465.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/465/GCF_000225465.1_ASM22546v1,Buchnera aphidicola str. Ua (Uroleucon ambrosiae),11
GCF_000521565.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/521/565/GCF_000521565.1_ASM52156v1,Buchnera aphidicola str. G002 (Myzus persicae),11
GCF_001280225.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/280/225/GCF_001280225.1_ASM128022v1,Buchnera aphidicola (Aphis glycines),11
GCF_001648115.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/648/115/GCF_001648115.1_ASM164811v1,Buchnera aphidicola (Schlechtendalia chinensis),11
GCF_001700895.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/700/895/GCF_001700895.1_ASM170089v1,Buchnera aphidicola (Diuraphis noxia),11
